case_id,case_type,expected_decision,model,mode,decision,parse_success,seeded_gap_count,critical_gap_count,identified_gap_count,identified_critical_gap_count,gap_recall,critical_gap_recall,false_ready,false_block,evidence_claim_count,unsupported_evidence_claim_count,evidence_hallucination_rate,actionability_score_mean,decision_accuracy,latency_seconds,tokens_in,tokens_out,cost_usd,raw_file,notes
case_001,database_migration,FIX-BEFORE-SHIP,openai/gpt-5.5,m1_checklist,FIX-BEFORE-SHIP,1,3,2,3,2,1.0,1.0,0,0,0,0,0.0,1.8,1,13.5,592,813,0.02735,gpt-5.5_m1_checklist_case_001.json,
case_002,cache_configuration,FIX-BEFORE-SHIP,openai/gpt-5.5,m1_checklist,FIX-BEFORE-SHIP,1,5,3,5,3,1.0,1.0,0,0,0,0,0.0,1.71,1,13.95,585,613,0.021315,gpt-5.5_m1_checklist_case_002.json,
case_003,kubernetes_resource_change,FIX-BEFORE-SHIP,openai/gpt-5.5,m1_checklist,FIX-BEFORE-SHIP,1,3,1,3,1,1.0,1.0,0,0,0,0,0.0,2.0,1,11.9,661,757,0.026015,gpt-5.5_m1_checklist_case_003.json,
case_004,infrastructure_change,FIX-BEFORE-SHIP,openai/gpt-5.5,m1_checklist,FIX-BEFORE-SHIP,1,5,3,5,3,1.0,1.0,0,0,0,0,0.0,1.5,1,9.27,616,574,0.0203,gpt-5.5_m1_checklist_case_004.json,
case_005,routing_change,FIX-BEFORE-SHIP,openai/gpt-5.5,m1_checklist,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,0,0,0.0,1.8,1,16.28,701,688,0.024145,gpt-5.5_m1_checklist_case_005.json,
case_006,auth_configuration,FIX-BEFORE-SHIP,openai/gpt-5.5,m1_checklist,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,0,0,0.0,1.67,1,13.53,606,861,0.02886,gpt-5.5_m1_checklist_case_006.json,
case_007,observability_logging,FIX-BEFORE-SHIP,openai/gpt-5.5,m1_checklist,FIX-BEFORE-SHIP,1,3,2,3,2,1.0,1.0,0,0,0,0,0.0,1.5,1,8.71,633,417,0.015675,gpt-5.5_m1_checklist_case_007.json,
case_008,background_worker_queue,FIX-BEFORE-SHIP,openai/gpt-5.5,m1_checklist,FIX-BEFORE-SHIP,1,6,3,6,3,1.0,1.0,0,0,0,0,0.0,1.5,1,11.85,569,527,0.018655,gpt-5.5_m1_checklist_case_008.json,
case_009,feature_flag_rollout,FIX-BEFORE-SHIP,openai/gpt-5.5,m1_checklist,FIX-BEFORE-SHIP,1,5,2,5,2,1.0,1.0,0,0,2,2,1.0,2.0,1,13.61,615,844,0.028395,gpt-5.5_m1_checklist_case_009.json,
case_010,k8s_hpa_scaling,READY,openai/gpt-5.5,m1_checklist,READY,1,0,0,0,0,NA,NA,0,0,0,0,0.0,1.42,1,14.0,1079,892,0.032155,gpt-5.5_m1_checklist_case_010.json,
case_011,feature_flag_rollout,READY,openai/gpt-5.5,m1_checklist,READY,1,0,0,0,0,NA,NA,0,0,0,0,0.0,2.0,1,6.06,1017,358,0.015825,gpt-5.5_m1_checklist_case_011.json,
case_012,cdn_dns_routing,READY,openai/gpt-5.5,m1_checklist,FIX-BEFORE-SHIP,1,0,0,0,0,NA,NA,0,1,0,0,0.0,1.75,0,23.12,1276,857,0.03209,gpt-5.5_m1_checklist_case_012.json,
case_001,database_migration,FIX-BEFORE-SHIP,openai/gpt-5.5,m2_evidence_grounded,FIX-BEFORE-SHIP,1,3,2,3,2,1.0,1.0,0,0,4,0,0.0,1.75,1,9.21,921,582,0.022065,gpt-5.5_m2_evidence_grounded_case_001.json,
case_002,cache_configuration,FIX-BEFORE-SHIP,openai/gpt-5.5,m2_evidence_grounded,FIX-BEFORE-SHIP,1,5,3,5,3,1.0,1.0,0,0,1,0,0.0,1.71,1,9.6,914,619,0.02314,gpt-5.5_m2_evidence_grounded_case_002.json,
case_003,kubernetes_resource_change,FIX-BEFORE-SHIP,openai/gpt-5.5,m2_evidence_grounded,FIX-BEFORE-SHIP,1,3,1,3,1,1.0,1.0,0,0,4,0,0.0,1.75,1,12.41,990,880,0.03135,gpt-5.5_m2_evidence_grounded_case_003.json,
case_004,infrastructure_change,FIX-BEFORE-SHIP,openai/gpt-5.5,m2_evidence_grounded,FIX-BEFORE-SHIP,1,5,3,5,3,1.0,1.0,0,0,1,0,0.0,1.75,1,14.34,945,839,0.029895,gpt-5.5_m2_evidence_grounded_case_004.json,
case_005,routing_change,FIX-BEFORE-SHIP,openai/gpt-5.5,m2_evidence_grounded,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,3,0,0.0,1.5,1,11.2,1030,764,0.02807,gpt-5.5_m2_evidence_grounded_case_005.json,
case_006,auth_configuration,FIX-BEFORE-SHIP,openai/gpt-5.5,m2_evidence_grounded,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,2,0,0.0,1.67,1,12.11,935,785,0.028225,gpt-5.5_m2_evidence_grounded_case_006.json,
case_007,observability_logging,FIX-BEFORE-SHIP,openai/gpt-5.5,m2_evidence_grounded,FIX-BEFORE-SHIP,1,3,2,3,2,1.0,1.0,0,0,4,0,0.0,2.0,1,10.25,962,678,0.02515,gpt-5.5_m2_evidence_grounded_case_007.json,
case_008,background_worker_queue,FIX-BEFORE-SHIP,openai/gpt-5.5,m2_evidence_grounded,FIX-BEFORE-SHIP,1,6,3,6,3,1.0,1.0,0,0,1,0,0.0,1.57,1,8.5,898,563,0.02138,gpt-5.5_m2_evidence_grounded_case_008.json,
case_009,feature_flag_rollout,FIX-BEFORE-SHIP,openai/gpt-5.5,m2_evidence_grounded,FIX-BEFORE-SHIP,1,5,2,5,2,1.0,1.0,0,0,8,3,0.375,2.0,1,22.2,944,1331,0.04465,gpt-5.5_m2_evidence_grounded_case_009.json,
case_010,k8s_hpa_scaling,READY,openai/gpt-5.5,m2_evidence_grounded,READY,1,0,0,0,0,NA,NA,0,0,7,0,0.0,2.0,1,13.35,1408,659,0.02681,gpt-5.5_m2_evidence_grounded_case_010.json,
case_011,feature_flag_rollout,READY,openai/gpt-5.5,m2_evidence_grounded,READY,1,0,0,0,0,NA,NA,0,0,7,0,0.0,2.0,1,16.11,1346,616,0.02521,gpt-5.5_m2_evidence_grounded_case_011.json,
case_012,cdn_dns_routing,READY,openai/gpt-5.5,m2_evidence_grounded,READY,1,0,0,0,0,NA,NA,0,0,7,0,0.0,1.88,1,9.72,1605,779,0.031395,gpt-5.5_m2_evidence_grounded_case_012.json,
case_001,database_migration,FIX-BEFORE-SHIP,x-ai/grok-4.3,m0_freeform,FIX-BEFORE-SHIP,1,3,2,2,2,0.667,1.0,0,0,1,1,1.0,1.83,1,7.56,562,803,0.002172,grok-4.3_m0_freeform_case_001.json,
case_002,cache_configuration,FIX-BEFORE-SHIP,x-ai/grok-4.3,m0_freeform,FIX-BEFORE-SHIP,1,5,3,5,3,1.0,1.0,0,0,0,0,0.0,2.0,1,7.53,555,787,0.002527,grok-4.3_m0_freeform_case_002.json,
case_003,kubernetes_resource_change,FIX-BEFORE-SHIP,x-ai/grok-4.3,m0_freeform,FIX-BEFORE-SHIP,1,3,1,3,1,1.0,1.0,0,0,0,0,0.0,1.71,1,9.79,630,916,0.002943,grok-4.3_m0_freeform_case_003.json,
case_004,infrastructure_change,FIX-BEFORE-SHIP,x-ai/grok-4.3,m0_freeform,FIX-BEFORE-SHIP,1,5,3,5,3,1.0,1.0,0,0,0,0,0.0,1.64,1,8.49,580,816,0.002631,grok-4.3_m0_freeform_case_004.json,
case_005,routing_change,FIX-BEFORE-SHIP,x-ai/grok-4.3,m0_freeform,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,0,0,0.0,2.0,1,10.53,661,882,0.002897,grok-4.3_m0_freeform_case_005.json,
case_006,auth_configuration,FIX-BEFORE-SHIP,x-ai/grok-4.3,m0_freeform,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,0,0,0.0,1.83,1,8.17,576,690,0.002311,grok-4.3_m0_freeform_case_006.json,
case_007,observability_logging,FIX-BEFORE-SHIP,x-ai/grok-4.3,m0_freeform,FIX-BEFORE-SHIP,1,3,2,3,2,1.0,1.0,0,0,0,0,0.0,1.86,1,7.52,601,860,0.0027,grok-4.3_m0_freeform_case_007.json,
case_008,background_worker_queue,FIX-BEFORE-SHIP,x-ai/grok-4.3,m0_freeform,FIX-BEFORE-SHIP,1,6,3,6,3,1.0,1.0,0,0,0,0,0.0,1.33,1,7.53,538,819,0.002586,grok-4.3_m0_freeform_case_008.json,
case_009,feature_flag_rollout,FIX-BEFORE-SHIP,x-ai/grok-4.3,m0_freeform,FIX-BEFORE-SHIP,1,5,2,5,2,1.0,1.0,0,0,0,0,0.0,2.0,1,7.06,582,810,0.002618,grok-4.3_m0_freeform_case_009.json,
case_010,k8s_hpa_scaling,READY,x-ai/grok-4.3,m0_freeform,FIX-BEFORE-SHIP,1,0,0,0,0,NA,NA,0,1,0,0,0.0,1.57,0,6.3,1028,816,0.003191,grok-4.3_m0_freeform_case_010.json,
case_011,feature_flag_rollout,READY,x-ai/grok-4.3,m0_freeform,FIX-BEFORE-SHIP,1,0,0,0,0,NA,NA,0,1,0,0,0.0,1.83,0,6.5,975,911,0.003295,grok-4.3_m0_freeform_case_011.json,
case_012,cdn_dns_routing,READY,x-ai/grok-4.3,m0_freeform,FIX-BEFORE-SHIP,1,0,0,0,0,NA,NA,0,1,2,2,1.0,1.09,0,9.09,1231,1020,0.003887,grok-4.3_m0_freeform_case_012.json,
case_001,database_migration,FIX-BEFORE-SHIP,x-ai/grok-4.3,m1_checklist,FIX-BEFORE-SHIP,1,3,2,3,2,1.0,1.0,0,0,2,0,0.0,1.8,1,5.2,711,597,0.001642,grok-4.3_m1_checklist_case_001.json,
case_002,cache_configuration,FIX-BEFORE-SHIP,x-ai/grok-4.3,m1_checklist,FIX-BEFORE-SHIP,1,5,3,5,3,1.0,1.0,0,0,1,0,0.0,1.67,1,4.73,704,631,0.002323,grok-4.3_m1_checklist_case_002.json,
case_003,kubernetes_resource_change,FIX-BEFORE-SHIP,x-ai/grok-4.3,m1_checklist,FIX-BEFORE-SHIP,1,3,1,3,1,1.0,1.0,0,0,4,4,1.0,1.75,1,4.68,779,568,0.002259,grok-4.3_m1_checklist_case_003.json,
case_004,infrastructure_change,FIX-BEFORE-SHIP,x-ai/grok-4.3,m1_checklist,FIX-BEFORE-SHIP,1,5,3,5,3,1.0,1.0,0,0,2,0,0.0,1.75,1,3.89,729,628,0.002347,grok-4.3_m1_checklist_case_004.json,
case_005,routing_change,FIX-BEFORE-SHIP,x-ai/grok-4.3,m1_checklist,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,0,0,0.0,2.0,1,5.19,810,619,0.002426,grok-4.3_m1_checklist_case_005.json,
case_006,auth_configuration,FIX-BEFORE-SHIP,x-ai/grok-4.3,m1_checklist,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,0,0,0.0,2.0,1,5.29,725,785,0.002734,grok-4.3_m1_checklist_case_006.json,
case_007,observability_logging,FIX-BEFORE-SHIP,x-ai/grok-4.3,m1_checklist,FIX-BEFORE-SHIP,1,3,2,3,2,1.0,1.0,0,0,3,3,1.0,1.75,1,4.63,750,759,0.002701,grok-4.3_m1_checklist_case_007.json,
case_008,background_worker_queue,FIX-BEFORE-SHIP,x-ai/grok-4.3,m1_checklist,FIX-BEFORE-SHIP,1,6,3,6,3,1.0,1.0,0,0,1,1,1.0,1.67,1,4.4,687,703,0.002482,grok-4.3_m1_checklist_case_008.json,
case_009,feature_flag_rollout,FIX-BEFORE-SHIP,x-ai/grok-4.3,m1_checklist,FIX-BEFORE-SHIP,1,5,2,5,2,1.0,1.0,0,0,1,1,1.0,2.0,1,7.88,731,903,0.003037,grok-4.3_m1_checklist_case_009.json,
case_010,k8s_hpa_scaling,READY,x-ai/grok-4.3,m1_checklist,READY,1,0,0,0,0,NA,NA,0,0,0,0,0.0,1.67,1,5.03,1177,709,0.003109,grok-4.3_m1_checklist_case_010.json,
case_011,feature_flag_rollout,READY,x-ai/grok-4.3,m1_checklist,READY,1,0,0,0,0,NA,NA,0,0,0,0,0.0,2.0,1,7.03,1124,769,0.003193,grok-4.3_m1_checklist_case_011.json,
case_012,cdn_dns_routing,READY,x-ai/grok-4.3,m1_checklist,READY,1,0,0,0,0,NA,NA,0,0,0,0,0.0,1.67,1,6.63,1380,690,0.003316,grok-4.3_m1_checklist_case_012.json,
case_001,database_migration,FIX-BEFORE-SHIP,x-ai/grok-4.3,m2_evidence_grounded,FIX-BEFORE-SHIP,1,3,2,3,2,1.0,1.0,0,0,5,0,0.0,2.0,1,6.52,1026,721,0.002951,grok-4.3_m2_evidence_grounded_case_001.json,
case_002,cache_configuration,FIX-BEFORE-SHIP,x-ai/grok-4.3,m2_evidence_grounded,FIX-BEFORE-SHIP,1,5,3,5,3,1.0,1.0,0,0,1,0,0.0,1.62,1,6.22,1019,947,0.003507,grok-4.3_m2_evidence_grounded_case_002.json,
case_003,kubernetes_resource_change,FIX-BEFORE-SHIP,x-ai/grok-4.3,m2_evidence_grounded,FIX-BEFORE-SHIP,1,3,1,3,1,1.0,1.0,0,0,4,0,0.0,1.75,1,5.15,1094,747,0.003101,grok-4.3_m2_evidence_grounded_case_003.json,
case_004,infrastructure_change,FIX-BEFORE-SHIP,x-ai/grok-4.3,m2_evidence_grounded,FIX-BEFORE-SHIP,1,5,3,5,3,1.0,1.0,0,0,3,0,0.0,1.5,1,5.26,1044,634,0.002756,grok-4.3_m2_evidence_grounded_case_004.json,
case_005,routing_change,FIX-BEFORE-SHIP,x-ai/grok-4.3,m2_evidence_grounded,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,3,0,0.0,1.38,1,5.08,1125,682,0.002977,grok-4.3_m2_evidence_grounded_case_005.json,
case_006,auth_configuration,FIX-BEFORE-SHIP,x-ai/grok-4.3,m2_evidence_grounded,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,3,0,0.0,1.6,1,4.8,1040,834,0.003251,grok-4.3_m2_evidence_grounded_case_006.json,
case_007,observability_logging,FIX-BEFORE-SHIP,x-ai/grok-4.3,m2_evidence_grounded,FIX-BEFORE-SHIP,1,3,2,3,2,1.0,1.0,0,0,4,0,0.0,2.0,1,5.15,1065,670,0.002536,grok-4.3_m2_evidence_grounded_case_007.json,
case_008,background_worker_queue,FIX-BEFORE-SHIP,x-ai/grok-4.3,m2_evidence_grounded,FIX-BEFORE-SHIP,1,6,3,6,3,1.0,1.0,0,0,2,0,0.0,1.5,1,7.27,1002,991,0.003596,grok-4.3_m2_evidence_grounded_case_008.json,
case_009,feature_flag_rollout,FIX-BEFORE-SHIP,x-ai/grok-4.3,m2_evidence_grounded,FIX-BEFORE-SHIP,1,5,2,5,2,1.0,1.0,0,0,2,0,0.0,1.83,1,9.57,1046,812,0.002867,grok-4.3_m2_evidence_grounded_case_009.json,
case_010,k8s_hpa_scaling,READY,x-ai/grok-4.3,m2_evidence_grounded,READY,1,0,0,0,0,NA,NA,0,0,7,0,0.0,2.0,1,7.22,1492,1245,0.003432,grok-4.3_m2_evidence_grounded_case_010.json,
case_011,feature_flag_rollout,READY,x-ai/grok-4.3,m2_evidence_grounded,READY,1,0,0,0,0,NA,NA,0,0,7,0,0.0,2.0,1,8.34,1439,1037,0.004257,grok-4.3_m2_evidence_grounded_case_011.json,
case_012,cdn_dns_routing,READY,x-ai/grok-4.3,m2_evidence_grounded,READY,1,0,0,0,0,NA,NA,0,0,7,0,0.0,2.0,1,8.28,1695,1331,0.005312,grok-4.3_m2_evidence_grounded_case_012.json,
case_001,database_migration,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m0_freeform,FIX-BEFORE-SHIP,1,3,2,3,2,1.0,1.0,0,0,1,0,0.0,1.42,1,10.35,450,360,0.000284,llama-4-maverick_m0_freeform_case_001.json,
case_002,cache_configuration,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m0_freeform,FIX-BEFORE-SHIP,1,5,3,4,2,0.8,0.667,0,0,0,0,0.0,1.18,1,10.29,444,300,0.000247,llama-4-maverick_m0_freeform_case_002.json,
case_003,kubernetes_resource_change,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m0_freeform,FIX-BEFORE-SHIP,1,3,1,3,1,1.0,1.0,0,0,0,0,0.0,1.5,1,8.71,520,323,0.000272,llama-4-maverick_m0_freeform_case_003.json,
case_004,infrastructure_change,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m0_freeform,FIX-BEFORE-SHIP,1,5,3,5,3,1.0,1.0,0,0,0,0,0.0,1.54,1,8.42,476,365,0.00029,llama-4-maverick_m0_freeform_case_004.json,
case_005,routing_change,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m0_freeform,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,0,0,0.0,1.8,1,8.9,553,403,0.000325,llama-4-maverick_m0_freeform_case_005.json,
case_006,auth_configuration,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m0_freeform,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,0,0,0.0,1.58,1,30.95,463,376,0.000295,llama-4-maverick_m0_freeform_case_006.json,
case_007,observability_logging,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m0_freeform,FIX-BEFORE-SHIP,1,3,2,3,2,1.0,1.0,0,0,0,0,0.0,1.8,1,17.3,490,316,0.000263,llama-4-maverick_m0_freeform_case_007.json,
case_008,background_worker_queue,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m0_freeform,FIX-BEFORE-SHIP,1,6,3,4,2,0.667,0.667,0,0,0,0,0.0,1.42,1,20.2,427,353,0.000276,llama-4-maverick_m0_freeform_case_008.json,
case_009,feature_flag_rollout,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m0_freeform,FIX-BEFORE-SHIP,1,5,2,5,2,1.0,1.0,0,0,0,0,0.0,1.6,1,17.92,475,321,0.000264,llama-4-maverick_m0_freeform_case_009.json,
case_010,k8s_hpa_scaling,READY,meta-llama/llama-4-maverick,m0_freeform,FIX-BEFORE-SHIP,1,0,0,0,0,NA,NA,0,1,0,0,0.0,1.64,0,16.27,933,421,0.000393,llama-4-maverick_m0_freeform_case_010.json,
case_011,feature_flag_rollout,READY,meta-llama/llama-4-maverick,m0_freeform,FIX-BEFORE-SHIP,1,0,0,0,0,NA,NA,0,1,0,0,0.0,1.59,0,47.63,873,450,0.000618,llama-4-maverick_m0_freeform_case_011.json,
case_012,cdn_dns_routing,READY,meta-llama/llama-4-maverick,m0_freeform,FIX-BEFORE-SHIP,1,0,0,0,0,NA,NA,0,1,0,0,0.0,1.33,0,6.03,1130,350,0.000745,llama-4-maverick_m0_freeform_case_012.json,
case_001,database_migration,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m1_checklist,FIX-BEFORE-SHIP,1,3,2,3,2,1.0,1.0,0,0,1,0,0.0,1.71,1,7.52,599,306,0.000273,llama-4-maverick_m1_checklist_case_001.json,
case_002,cache_configuration,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m1_checklist,FIX-BEFORE-SHIP,1,5,3,5,3,1.0,1.0,0,0,2,1,0.5,1.44,1,9.91,593,407,0.000333,llama-4-maverick_m1_checklist_case_002.json,
case_003,kubernetes_resource_change,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m1_checklist,FIX-BEFORE-SHIP,1,3,1,3,1,1.0,1.0,0,0,0,0,0.0,1.67,1,7.92,669,359,0.000316,llama-4-maverick_m1_checklist_case_003.json,
case_004,infrastructure_change,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m1_checklist,FIX-BEFORE-SHIP,1,5,3,5,3,1.0,1.0,0,0,1,0,0.0,1.75,1,3.97,625,328,0.000547,llama-4-maverick_m1_checklist_case_004.json,
case_005,routing_change,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m1_checklist,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,0,0,0.0,1.5,1,7.72,702,231,0.000386,llama-4-maverick_m1_checklist_case_005.json,
case_006,auth_configuration,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m1_checklist,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,0,0,0.0,1.62,1,18.02,612,346,0.000299,llama-4-maverick_m1_checklist_case_006.json,
case_007,observability_logging,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m1_checklist,FIX-BEFORE-SHIP,1,3,2,3,2,1.0,1.0,0,0,0,0,0.0,1.83,1,17.53,639,332,0.000295,llama-4-maverick_m1_checklist_case_007.json,
case_008,background_worker_queue,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m1_checklist,FIX-BEFORE-SHIP,1,6,3,6,3,1.0,1.0,0,0,1,1,1.0,1.44,1,21.87,576,331,0.000437,llama-4-maverick_m1_checklist_case_008.json,
case_009,feature_flag_rollout,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m1_checklist,FIX-BEFORE-SHIP,1,5,2,5,2,1.0,1.0,0,0,1,1,1.0,1.71,1,16.27,624,330,0.000292,llama-4-maverick_m1_checklist_case_009.json,
case_010,k8s_hpa_scaling,READY,meta-llama/llama-4-maverick,m1_checklist,READY,1,0,0,0,0,NA,NA,0,0,0,0,0.0,1.5,1,14.43,1082,354,0.000375,llama-4-maverick_m1_checklist_case_010.json,
case_011,feature_flag_rollout,READY,meta-llama/llama-4-maverick,m1_checklist,READY,1,0,0,0,0,NA,NA,0,0,0,0,0.0,2.0,1,25.17,1022,376,0.000379,llama-4-maverick_m1_checklist_case_011.json,
case_012,cdn_dns_routing,READY,meta-llama/llama-4-maverick,m1_checklist,READY,1,0,0,0,0,NA,NA,0,0,0,0,0.0,2.0,1,27.57,1279,381,0.000669,llama-4-maverick_m1_checklist_case_012.json,
case_001,database_migration,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m2_evidence_grounded,FIX-BEFORE-SHIP,1,3,2,3,2,1.0,1.0,0,0,4,0,0.0,1.6,1,12.28,931,399,0.000591,llama-4-maverick_m2_evidence_grounded_case_001.json,
case_002,cache_configuration,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m2_evidence_grounded,FIX-BEFORE-SHIP,1,5,3,5,3,1.0,1.0,0,0,2,0,0.0,1.5,1,10.51,925,343,0.000541,llama-4-maverick_m2_evidence_grounded_case_002.json,
case_003,kubernetes_resource_change,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m2_evidence_grounded,FIX-BEFORE-SHIP,1,3,1,3,1,1.0,1.0,0,0,4,0,0.0,1.62,1,7.09,1001,315,0.000339,llama-4-maverick_m2_evidence_grounded_case_003.json,
case_004,infrastructure_change,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m2_evidence_grounded,FIX-BEFORE-SHIP,1,5,3,5,3,1.0,1.0,0,0,7,5,0.714,1.5,1,6.73,957,303,0.000325,llama-4-maverick_m2_evidence_grounded_case_004.json,
case_005,routing_change,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m2_evidence_grounded,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,5,1,0.2,1.6,1,3.2,1034,319,0.000681,llama-4-maverick_m2_evidence_grounded_case_005.json,
case_006,auth_configuration,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m2_evidence_grounded,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,3,0,0.0,1.62,1,4.43,945,297,0.000672,llama-4-maverick_m2_evidence_grounded_case_006.json,
case_007,observability_logging,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m2_evidence_grounded,FIX-BEFORE-SHIP,1,3,2,3,2,1.0,1.0,0,0,4,0,0.0,1.62,1,16.92,971,340,0.000551,llama-4-maverick_m2_evidence_grounded_case_007.json,
case_008,background_worker_queue,FIX-BEFORE-SHIP,meta-llama/llama-4-maverick,m2_evidence_grounded,FIX-BEFORE-SHIP,1,6,3,6,3,1.0,1.0,0,0,7,3,0.429,1.4,1,21.72,908,407,0.00038,llama-4-maverick_m2_evidence_grounded_case_008.json,
